time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 23:53:59.355	WTyyyy(CC4B99849B02)	0.090	-0.019	-0.903	5.310	1.831	44.800	-179.51	-4.80	-21.58	-11.217	-21.775	21.992	-0.00369	-0.98062	0.19107	-0.04202	22.9	10080.1.3	100
2025-3-13 23:53:59.414	WTyyyy(CC4B99849B02)	0.104	-0.045	-0.882	-11.719	-1.831	80.444	-179.90	-4.86	-27.99	-11.217	-21.775	21.992	-0.00690	-0.95209	0.30289	-0.04034	22.9	10080.1.3	100
2025-3-13 23:53:59.564	WTyyyy(CC4B99849B02)	0.090	-0.030	-0.885	6.104	0.549	109.802	-179.04	-4.63	-37.41	-11.217	-21.775	21.992	-0.00690	-0.95209	0.30289	-0.04034	22.9	10080.1.3	100
2025-3-13 23:53:59.624	WTyyyy(CC4B99849B02)	0.109	-0.021	-0.909	-4.395	9.460	121.826	-177.81	-5.21	-48.83	-15.950	-11.700	21.850	-0.00690	-0.95209	0.30289	-0.04034	22.9	10080.1.3	100
2025-3-13 23:53:59.744	WTyyyy(CC4B99849B02)	0.104	-0.029	-0.927	-5.310	2.319	117.859	-177.36	-4.74	-60.49	-15.950	-11.700	21.850	-0.00690	-0.95209	0.30289	-0.04034	22.9	10080.1.3	100
2025-3-13 23:53:59.837	WTyyyy(CC4B99849B02)	0.110	-0.015	-0.975	12.207	-3.784	91.248	-176.02	-4.25	-70.55	-15.950	-11.700	21.850	0.01114	-0.79065	0.60989	-0.05179	22.9	10080.1.3	100
2025-3-13 23:53:59.953	WTyyyy(CC4B99849B02)	0.111	-0.006	-1.011	-2.869	8.423	52.429	-175.34	-4.02	-77.42	-15.950	-11.700	21.850	0.01114	-0.79065	0.60989	-0.05179	22.9	10080.1.3	100
2025-3-13 23:54:0.45	WTyyyy(CC4B99849B02)	0.100	-0.028	-1.044	2.930	-10.498	-3.906	-175.86	-3.78	-79.66	-14.000	-2.100	22.258	0.01114	-0.79065	0.60989	-0.05179	22.9	10080.1.3	100
2025-3-13 23:54:0.162	WTyyyy(CC4B99849B02)	0.109	-0.005	-1.082	1.709	-0.427	-59.998	-175.67	-4.02	-76.04	-14.000	-2.100	22.258	0.01114	-0.79065	0.60989	-0.05179	22.9	10080.1.3	100
2025-3-13 23:54:0.225	WTyyyy(CC4B99849B02)	0.103	-0.015	-1.098	-7.019	-0.610	-116.333	-177.00	-4.65	-66.69	-14.000	-2.100	22.258	-0.00714	-0.88461	0.46387	-0.04611	22.9	10080.1.3	100
2025-3-13 23:54:0.344	WTyyyy(CC4B99849B02)	0.097	-0.030	-1.104	5.188	-6.897	-158.325	-178.45	-5.02	-52.22	-14.000	-2.100	22.258	-0.00714	-0.88461	0.46387	-0.04611	22.9	10080.1.3	100
2025-3-13 23:54:0.439	WTyyyy(CC4B99849B02)	0.111	-0.010	-1.102	-10.071	5.310	-180.786	-179.65	-5.67	-34.86	-12.742	-18.683	22.533	-0.00714	-0.88461	0.46387	-0.04611	22.9	10080.1.3	100
2025-3-13 23:54:0.554	WTyyyy(CC4B99849B02)	0.089	-0.028	-1.062	6.470	-2.014	-174.561	178.47	-5.06	-16.88	-12.742	-18.683	22.533	-0.00714	-0.88461	0.46387	-0.04611	22.9	10080.1.3	100
2025-3-13 23:54:0.645	WTyyyy(CC4B99849B02)	0.081	-0.033	-1.032	1.709	3.845	-141.235	177.65	-5.05	-1.31	-12.742	-18.683	22.533	-0.02100	-0.99698	-0.05966	-0.04373	22.9	10080.1.3	100
