time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-03-13 23:53:59.355	WTyyyy(CC4B99849B02)	0.765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.375	WTyyyy(CC4B99849B02)	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.395	WTyyyy(CC4B99849B02)	1.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.415	WTyyyy(CC4B99849B02)	1.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.435	WTyyyy(CC4B99849B02)	1.468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.455	WTyyyy(CC4B99849B02)	1.627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.475	WTyyyy(CC4B99849B02)	1.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.495	WTyyyy(CC4B99849B02)	1.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.515	WTyyyy(CC4B99849B02)	1.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.535	WTyyyy(CC4B99849B02)	1.757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.555	WTyyyy(CC4B99849B02)	1.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.575	WTyyyy(CC4B99849B02)	1.656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.595	WTyyyy(CC4B99849B02)	1.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.615	WTyyyy(CC4B99849B02)	1.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.635	WTyyyy(CC4B99849B02)	1.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.655	WTyyyy(CC4B99849B02)	1.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:53:59.675	WTyyyy(CC4B99849B02)	0.826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
